Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_180_242_3507.txt, 8.37206, 3, 0, 37, 12736, 1, 126810, 10, 0, 0
input/Spd_RF2_180_242_3515.txt, 8.86429, 1, 0, 38, 2, 0, 126331, 10, 0, 0
input/Spd_RF2_180_242_3523.txt, 8.36508, 3, 0, 38, 12, 0, 127374, 10, 0, 0
input/Spd_RF2_180_263_3531.txt, 4.14931, 12, 0, 30, 35871, 3, 115932, 10, 0, 0
input/Spd_RF2_180_263_3539.txt, 4.89768, 17, 0, 34, 39626, 3, 116232, 10, 0, 0
input/Spd_RF2_180_263_3547.txt, 4.44314, 10, 0, 30, 87184, 7, 117416, 10, 0, 0
input/Spd_RF2_180_263_3555.txt, 4.87766, 3, 0, 32, 59844, 5, 116283, 10, 0, 0
input/Spd_RF2_180_263_3563.txt, 6.53810, 1, 0, 35, 19378, 1, 115329, 10, 0, 0
input/Spd_RF2_180_284_3571.txt, 2.53736, 20, 0, 29, 12060, 1, 109526, 10, 0, 0
input/Spd_RF2_180_284_3579.txt, 4.00592, 23, 0, 31, 31037, 2, 107225, 10, 0, 0
input/Spd_RF2_180_284_3587.txt, 2.33788, 23, 0, 30, 8998, 0, 109410, 10, 0, 0
input/Spd_RF2_180_284_3595.txt, 3.04577, 22, 0, 32, 24809, 2, 108914, 10, 0, 0
input/Spd_RF2_180_284_3603.txt, 3.71901, 16, 0, 37, 10, 0, 107800, 10, 0, 0
input/Spd_RF2_200_222_3811.txt, 24.15000, 1, 0, 53, 1089, 0, 137115, 10, 0, 0
input/Spd_RF2_200_222_3819.txt, 23.88333, 1, 0, 54, 2, 0, 135800, 10, 0, 0
input/Spd_RF2_200_222_3827.txt, 23.68333, 1, 0, 52, 14503, 1, 138316, 10, 0, 0
input/Spd_RF2_200_222_3835.txt, 23.58095, 1, 0, 52, 35806, 2, 135741, 10, 0, 0
input/Spd_RF2_200_222_3843.txt, 24.15000, 1, 0, 53, 71, 0, 136229, 10, 0, 0
input/Spd_RF2_200_244_3851.txt, 17.03333, 1, 0, 44, 48464, 3, 127262, 10, 0, 0
input/Spd_RF2_200_244_3859.txt, 17.95000, 1, 0, 48, 9177, 0, 126011, 10, 0, 0
input/Spd_RF2_200_244_3867.txt, 16.52500, 1, 0, 47, 10, 0, 125103, 10, 0, 0
input/Spd_RF2_200_244_3875.txt, 16.43095, 1, 0, 46, 5, 0, 125350, 10, 0, 0
input/Spd_RF2_200_244_3883.txt, 16.45476, 1, 0, 45, 15492, 1, 125099, 10, 0, 0
input/Spd_RF2_200_267_3891.txt, 10.37933, 3, 0, 42, 11, 0, 113853, 10, 0, 0
input/Spd_RF2_200_267_3899.txt, 11.06667, 1, 0, 43, 13976, 1, 112443, 10, 0, 0
input/Spd_RF2_200_267_3907.txt, 9.98333, 1, 0, 40, 13943, 1, 115085, 10, 0, 0
input/Spd_RF2_200_267_3915.txt, 11.04762, 1, 0, 42, 65634, 5, 113867, 10, 0, 0
input/Spd_RF2_200_267_3923.txt, 10.92857, 1, 0, 45, 60520, 5, 112398, 10, 0, 0
input/Spd_RF2_200_289_3931.txt, 5.63098, 3, 0, 37, 32798, 3, 103772, 10, 0, 0
input/Spd_RF2_200_289_3939.txt, 6.67432, 3, 0, 41, 19652, 1, 104324, 10, 0, 0
input/Spd_RF2_200_289_3947.txt, 6.19144, 3, 0, 36, 32911, 3, 106603, 10, 0, 0
input/Spd_RF2_200_289_3955.txt, 7.02192, 3, 0, 42, 3790, 0, 103531, 10, 0, 0
input/Spd_RF2_200_289_3963.txt, 8.26353, 16, 0, 38, 43707, 4, 104123, 10, 0, 0
input/Spd_RF2_200_312_3971.txt, 5.16585, 27, 0, 35, 74084, 7, 96895, 10, 0, 0
input/Spd_RF2_200_312_3979.txt, 2.65166, 16, 0, 41, 9, 0, 95557, 10, 0, 0
